iter	Passed	Remaining
804	86708	236427
805	86821	236335
806	86912	236181
807	87003	236029
808	87098	235887
809	87198	235758
810	87296	235625
811	87393	235489
812	87492	235357
813	87589	235223
814	87689	235094
815	87802	234999
816	87918	234914
817	88013	234775
818	88116	234654
819	88218	234531
820	88312	234389
821	88409	234253
822	88526	234170
823	88623	234035
824	88714	233884
825	88828	233792
826	88920	233644
827	89015	233505
828	89134	233427
829	89234	233299
830	89346	233204
831	89439	233058
832	89539	232932
833	89627	232774
834	89722	232632
835	89822	232506
836	89918	232370
837	90013	232231
838	90110	232097
839	90212	231975
840	90304	231828
841	90419	231741
842	90511	231592
843	90622	231495
844	90712	231344
845	90808	231207
846	90926	231127
847	91022	230990
848	91134	230895
849	91233	230768
850	91337	230651
851	91434	230517
852	91532	230388
853	91628	230250
854	91726	230121
855	91826	229995
856	91920	229856
857	92036	229769
858	92137	229647
859	92234	229513
860	92351	229430
861	92444	229289
862	92542	229158
863	92636	229017
864	92751	228930
865	92849	228800
